LinkedIn Name,Corpus
Raj Padmanabhan,"Raj Padmanabhan is the Chief Executive Officer of Wellknown Engineering. His background includes 20 + years experience field Manufacturing Exporting Water Waste Water Treatment Plants. He has partnered reputed reliable brands like Pentair Water, GE Toray Hydranautics, Dow Chemicals and Lanxess."
Krishnakumar Ranganathan,phthalnakumar Ranganathan currently working C E O TRIOZON -TECHTEAM. Based Hyderabad Telangana India nan industry. background includes Scientific aeration aquaculture sewage lake restoration drinking water management. Wellness nutraceuticals developed seaweed based phyto nutrient tablets.
Rajat Batra,Rajat Batra is the Chief Executive Officer of STENUM Asia Sustainable Development Society. He is also the Managing Director of Earthood Services Pvt. Ltd. and a member of the Indian Institute of Foreign Trade IIFT New Delhi. He has a background in SME manufacturing and is a graduate of IIT BHU and Ohio State University.
Harshad G.,"Harshad G. currently working Chief Executive Officer Clairgies Tech India. Harshad Gupta sustainability professional extensive experience working e waste plastic waste battery waste management. 10,000 + tier-2,3 city students help upskill growing green career opportunities India. Guptaharshad661@gmail.com."
Denis CA de Souza,Denis de Souza currently working Chairman CEO De Souza Integrated Partners. Base salary bench marked global position minimum 2.5 5 percent annual funds managed golden parachute option senior executive package family status following senior employee benefits. Furnished family   bedroom plus study accommodation secured premises covered car garage.
Priyanshu Kumath,Priyanshu Kumath is the Founder CEO of Clean Water Sustainable Water Technologies Pvt Ltd. Clean Water specializes waterbody restoration projects floating wetlands floating islands provide visually pleasing touch water bodies cleanse water restores ecology biodiversity. Priyansu is a civil engineer working large real estate companies later trained led 700 person team Housing.com.
Suhas Dixit,"Suhas Dixit is a seasoned entrepreneur with 15 years experience in advanced recycling biofuels. Suhas has led company delivering 47 successful projects. He is pursuing a Doctorate Business Administration in Business Management at Swiss School of Business Management. His company, APChemi, is developing technologies to convert plastic biomass waste into biofuel."
Dr Ram Boojh,"Dr Ram Boojh is the CEO of Mobius Foundation, a New Delhi based environment sustainability think tank. His background includes 40 years rich diverse experience working for the United Nations System. He has taken leadership role international bodies e.g. World Summit Sustainable Development Johannesburg 2002. Recipient honours awards including prestigious Science Academy Medal."
Dhananjay Kr. Dwivedi,Dhananjay Kr Dwivedi is the Chief Executive Officer of GICIA INDIA. His background includes 15 years   experience field auditing   sector like FSC PEFC RSPO CORE ISO 14001 etc GHG Emission Reduction projects Leading team working nature based solution including forest certification carbon projects.
Himanshu Agarwal,"Himanshu Agarwal is the founder and CEO of Magneto CleanTech. His background includes Air Quality Scientist, Entrepreneur, Public Speaker, Innovator and Tinkerer. He is passionate about helping shape future indoor air quality in India. He lives in Delhi with his wife and two children."
Venkatreddy Patil,Venkatreddy Patil currently working Chief Executive Officer RECOMMERCE. Based Bengaluru Karnataka India Environmental Services industry. Background includes Recommerce aims build sustainable business ecosystem reverse supply chain urban mining industry accomplish Recomcommerce 5 pronged approach represented 5 E Engage Educate Exchange Empower.
Dr. Anil Garg,Dr. Anil Garg is the Chief Executive Officer of Energy Environment Foundation. The foundation is committed to creating clean green energy efficient world greener planet. The Foundation organizes International Conferences Energy Sector Petroleum Coal Natural Gas Renewable Energy provides forum deliberation discussion knowledge exchange.
Ashrut Gholap,"Ashrut Gholap is the Chief Executive Officer of Triumph Sustainability. He is based in Indore Madhya Pradesh, India. His background includes master technology degree thermal engineering and technical managerial expertise. His company provides carbon credits origination sales and EPR plastic credits. The company also provides carbon footprinting services."
Amit Holkar,"Amit Holkar is the Founder CEO of Creative Thoughts Informatics Services Pvt Ltd. He is based in Indore, Madhya Pradesh, India. Holkar has worked in the IT industry for 9 years. He has also worked in finance, retail, and IT."
Lokesh K Agrawal,"Lokesh K Agrawal is the founder and CEO of Wastech. He is based in Raipur, Chhattisgarh, India. Lokesh's background includes founder CEO Wastech and a bachelor degree from Ghasidas University. He has 9 years experience in the environmental services industry."
Amitsinh Vaghela - Vakiil,"Amitinh Vaghela Vakiil currently working CEO founder Founder Earthcarbon International Ltd. He is based in Ahmedabad Gujarat, India. His background includes Reduce carbon footprints 50 SMEs individuals globally 2030. He has 12 years experience in the carbon reduction field."
Nitesh Singh,"Nitesh Singh is the CEO of Veolia India Pvt. Ltd. He is based in Gurgaon, Haryana, India. He has worked for Veolia for 1 years 5 months. His background includes nan and environmental services. His current role is Head Central Hub OCW CEO at Veolia."
Amit Saha,"Amit Saha is the Chief Sustainability Officer of Coca Cola. He is also the Founder of Pro India, a company that aims to clean India. He has a background in business and is a graduate of ISB Wharton and FMCG. He also has a doctorate in business administration."
Vijay K.,Vijay K. currently working Chief Executive Officer Growki. Vijay is CEO of Neubrain Solutions leading AI based martech company transforming way businesses approach marketing technology. He has 12 + years experience tech industry dedicated career developing innovative solutions help businesses achieve goals. His LinkedIn profile includes Hello welcome LinkedIn profile Vijay.
Ehsan Rizvi,"Ehsan Rizvi is the CEO of 4D Climate Solutions. He is based in Kanpur Uttar Pradesh, India. He has been working for the company for 5 years and 11 months. His background includes nan industry and education. His vision is to empower communities to combat climate change."
Dipu Varghese,"Dipu Varghese is a Tech CEO from Kerala, India. He is currently working as Tech CEO at NoArk. His background includes Necessity mother invention. He has worked in the tech industry for 2 years and 4 months. He was born in Kerala and grew up in Thiruvananthapuram."
Arush Swaroop,Arush Swaroop is the Chief Executive Officer of Minipore Micro Products. He is responsible for the manufacture of Membranes Filter Papers and Filter Tapes. His background includes Supervising day day operations and R&D related products. His company is based in the Greater Delhi Area of India.
Shekar Prabhakar,"Shekar Prabhakar is the Co Founder CEO of Hasiru Dala Innovations Private Limited. He is based in Bengaluru, Karnataka, India. His background includes 22 years industry experience products solutions consulting services. He has worked for Indian MNC organizations India Middle East UK and UK."
Apoorva Ghantiwala,"Apoorva Ghantiwala currently working Founder CEO Enmentt Projects Consulting. background includes 12 + years professional experience Environmental Engineering pollution control field. He is based in Surat Gujarat, India, in the environmental services industry. He has worked for a pharma API Formulation dairy pesticides specialty chemicals projects."
Shobha Raghavan,"Shobha Raghavan is the Chief Executive Officer of Saahas Zero Waste. She is based in Bengaluru, Karnataka, India. Shobha's background includes experiencing corporate world dawned commit social problem staring earthian Yes waste attracted. She has worked in the environmental services industry for 11 years 8 months."
Jai Dhar Gupta,"Jai Dhar Gupta is the founder and CEO of Nirvana, a company that specialises in the nan industry. He is based in South Delhi, Delhi, India. His background includes nan industry, and he is a graduate of the Indian National Institute of Technology, Delhi."
Pankaj Sachdeva,Pankaj Sachdeva is the Chief Executive Officer of VISHVARAJ ENVIRONMENT PVT LTD. He is based in Mumbai Maharashtra India. He has more than 40 years of experience leading major multinational companies. His background includes Energetic visionary leadership professional.
Sriram Kuchimanchi,phthalam Kuchimanchi currently working Founder CEO Smarter Dharma. His background includes Ashoka Fellow and Autodesk Social Fellow awarded approach to address climate change. He is passionate about engaging leaders to demystify sustainability driven empathy. He has worked in Bangalore Urban Karnataka India for 12 years 7 months.
Dr. Ganges Reddy,Dr. Ganges Reddy currently working Managing Director CEO BlueDrop Enviro Pvt Ltd. Dr. Reddy's background includes LAKES WATER BODIES REJUVENATION#Sustainability#Environment#Wastewater#Perfected Solution Treatment#Architect Today.
Dr.Subramanya Kusnur,"Dr. Subramanya Kusnur is the founder and CEO of AquaKraft Ventures. He has worked in the Mumbai Metropolitan Region Environmental Services industry for 14 years. His background includes nan, nanotechnology, and environmental services. He is a graduate of the Indian Institute of Technology, Bombay, and the University of Mumbai."
Kamal Tiwari,Kamal Tiwari is the Chief Executive Officer of Daiki Axis India. He has worked in the Indian water wastewater sector for 24 years. He is a key member of the FICCI Water Mission working in the wastewater sector. He also has expertise building Water sector businesses in India.
Karan Vyas,Karan Vyas is the Chief Executive Officer of Signet EnerTech Pvt. Ltd. He is responsible for assisting clients identify solutions to environmental challenges. He also focuses on driving global collaborations with ecosystem partners. He has worked in the Civil Engineering field for 3 years and 6 months.
Jitender Sangwan,"Jitender Sangwan is the founder/ CEO of Bantair India Private Limited. He is based in Gurgaon, Haryana, India. His background includes Environmentalists- Water conservation and Innovative Technology development. He has been working at the company for 8 years 7 months."
Ideal Systems Services,"phthal Systems Services currently working CEO of Ideal Systems Services based in Pune Maharashtra, India. The company has been in business for 12 years 8 months. Ideal Systems is one of the leading water treatment companies in the world. The firm is based in the Pune area of Pune, Maharashtra India and has offices across India."
Dr Prachi Jain,Dr Prachi Jain is the founder of Climate Corporate Solutions. He is also the chair of Mentoring Motivation India. He has 19 years experience helping businesses transition to a low carbon economy. He also has a PhD in Environmental Studies from Swiss School of Business Management. Prachi is a member of the G100 global network changemakers.
Sanjay Sapra,"Sanjay Sapra is the Managing Director of C E O Aquanomics Systems Limited. His background includes nan industry and nanotechnology. He is based in South Delhi, Delhi, India. Sapra has worked in the nan industry for more than 20 years. He has also been involved in a number of nan start-ups."
Jayavardhan Shetty,"Jayavardhan Shetty is the Chief Executive Officer of Swachha Eco Solutions. His background includes Brand Management Market Research and Strategic Positioning. His company is based in Bengaluru, Karnataka, India. For more information, visit swachha.co.uk."
Sanjay Vashishtha,"Sanjay Vashishtha is the CEO of Green Consulting Private Limited. He is based in Gurugram, Haryana, India. His background includes renewable energy and semiconductor manufacturing. Green Consulting stands forefront in India's energy transition focus on energy efficiency and alternative energy solutions."
Rachna Sharma,Rachna Sharma currently working Founder CEO Climate Ready Leaders. Her mission is to demystify climate change organizations and help professionals unlock climate opportunity build leaders world needs. Her background spans communications development corporate sustainability social purpose impact working clients senior levels Asia Pacific led highly impactful globally acclaimed work.
Aru Aditya Vasu,Aru Aditya Vasu currently working Founder CEO Arbon. Background includes Founder Arbon cleantech company based Coimbatore Tamil Nadu business design manufacturing solar energy products accessories. Previously finance professional demonstrated history working equity capital markets debt origination coverage. B.Tech(Mechanical Engineering Delhi College Engineering MBA Finance XLRI Jamshedpur.
Anubhav Mittal,"Anubhav Mittal is CEO and Co Founder of a Delhi-based environmental services company. His background includes MBA, MBA Finance, Entrepreneurship Strategy and Marketing. He has worked in India for 5 years and is currently based in Delhi, India. He is currently working as CEO of a company based in New Delhi."
Dr Mangesh Kashyap,Dr Mangesh Kashyap is the Chief Executive Officer of Environmental Sustainability Research Foundation- ESRF. He is a Ph.D. in Ecological Economics. He has conducted 300 workshops rural areas Maharashtra. He believes equal efficient use water services allocation distribution bring real turnaround socio economic activities ecosystems.
Santosh Sutar,"Santosh Sutar is the Chief Executive Officer of VANALOK. He is based in Bengaluru, Karnataka, India. His background includes nan industry and nanotechnology. Santosh is a graduate of the Indian Institute of Technology, Bengaluru. He has worked in the nan industry for 3 years and is passionate about nan technology."
Wilma Rodrigues,"Wilma Rodrigues currently working Founder CEO Saahas Zero Waste. She is based in Bengaluru Karnataka India Environmental Services industry. Her background includes Waste key challenges people   planet required sincerely address. She has worked as a journalist, a tour guide, and as a businesswoman."
Kannan Kesavapillai,"Kannan Kesavapillai is the Founder and Chief Executive Officer of AugSense Lab. He is based in Bengaluru, Karnataka, India. His background includes nan, nanotechnology and nanomaterials. Kannan is a graduate of the Indian Institute of Technology, Bengaluru. He has worked in the research industry for two years."
Suchit Dekivadia,"Suchit Dekivadia is the Chief Executive Officer of NetXeroC. He is based in Noida, Uttar Pradesh, India. His background is in the Environmental Services industry. He has worked in different markets in India, South Asia and the Middle East. Suchit is a graduate of the Indian Institute of Technology, Delhi."
Sandeep Chhamunya,Sandeep Chhamunya is the founder and CEO of EnvMart. He has 23 years experience managing entire business P&L responsibility firms. His background includes Business leader excellent entrepreneurial skills. His company has 500 + employees and presence in 24 countries. He also has a strong understanding of the Middle East market.
Sitapathy Chavali,itionally    Sitapathy Chavali currently working CEO Co Founder TTL Electric Fuel Private Limited. Sustainability Champion | Ex Vodafone | Ex Reliance | Ex Lucent Bell Labs | Ex Tata    30 years C Senior level experience demonstrated leadership. Solar Power Wireless   Telecom EV Charging   Blockchain technology based solutions designs business domains deployment. Crypto Token design launches global ICO.
Sunita Kohli Narulaa,"Sunita Kohli Narulaa is a Chief Executive Officer of a self-employed company based in Delhi, India. Her background includes specialize Heritage Tree Zone Care and Butterfly Gardening. Her company provides Horticulture Consultancy Services. She has worked for 11 years 9 months in her current role."
Channa Ghosh,"Channa Ghosh is the Chief Executive Officer of HSSERisk, a Kolkata-based business consulting company. Ghosh's background includes internationally recognized ESG Sustainability EHS expert speaker author 30 yrs experience exploration oil gas mines metals energy construction chemicals cement foundry."
SANJAY AGGARWAL," SANJAY AGGARWAL is the CEO of Clover Organic Pvt Ltd. He is based in Dehradun Uttarakhand, India. His background includes introduced world beneficial microbes. He has developed 42 different methods composting suit biomass situation. His company is 152nd Company world 2nd largest Company sell microbes volume 7 years."
CHANDRA BHUSHAN,"Chandra BHUSHAN is the Chief Executive Officer of International Forum Environment Sustainability Technology iFOREST. He is based in New Delhi, India. His background includes nan industry. He has worked in the nan industry for four years and is currently based in Delhi. He was born in India and is a graduate of Delhi University."
Vitalii Matiunin,"Vitalii Matiunin is the founder and CEO of Airvoice, an air quality management system. He is also the captain of the Indian national physics team. He has 8 years experience in sales and business development. He was born in Gurugram, Haryana, India, and is a graduate of the University of Delhi."
Akshaya Rath,"Akshaya Rath currently working Co founder CEO EcoEx. Her background includes 23 years experience Sales BD. She has exposed the Middle east African market. She is based in Delhi, India, and has worked for EcoEx for 3 years 8 months. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here for details."
Prasad Babu,Prasad Babu is the founder and CEO of Geo Climate Risk Solutions Pvt. Ltd. His company focuses on restoring degraded landscapes. The company has built a phased approach to restoring degraded landscape. It uses satellite images to identify hotspots and IoT sensors to monitor the landscape.
Sanjay Joshi 1,                 Sanjay Joshi 1 currently working CEO(Projects Luthra Group Companies)                     SanjayJoshi is the CEO of the Luthra group of companies based in Greater Surat Area Waste Treatment Disposal industry. The company is involved in the waste treatment and disposal of waste water and waste disposal.
Vipul Gajera,"Vipul Gajera is the Chief Executive Officer of Grow-Trees.com. He is passionate about environmental sustainability and reforestation. Vipul is a graduate of Cass Business School, Nirma University and Royal Military Academy Sandhurst. He has also served in the Indian Army and the Indian Navy."
Sunil Kulkarni,Sunil Kulkarni currently working CEO Innovative Quality Solutions. background includes 28 years diversified professional experience environmental field. Special areas expertise Soil Groundwater remedial investigation RI feasibility studies FS environmental site assessment remediation contaminated soil groundwater surface water sediment innovative technologies Design Installation Monitoring Effluent Treatment Plant following house.
Dr. Kantilal Wakte,"Dr. Kantilal Wakte is the CEO of Srushti EcoHomes Landscapes based in Pune Maharashtra, India. His background includes a Masters in Botany and a Doctoral in Soil Potting Mix. He is the Vice President of the Lions Club Kopargaon and the President of Miracle Easy Gardening India."
Venkata Ramana Mattaparthi,"phthalmologist Venkata Ramana Mattaparthi currently working Founder CEO Bluelotus.solutions. He is based in East Godavari Andhra Pradesh, India. His background includes nan, nanotechnology, nanomaterials, and nanotechnology. He has worked in the environmental services industry for 1 years."
Awkaash Kumar,Awkaash Kumar currently working CEO Founder SAGE Sustainable Approach Green Environment. MSc PhD focused Environmental Science Engineering Indian Institute of Technology Bombay. C++ Strong entrepreneurship professional. Skilled ArcGIS Sustainable Development Sustainable Development Environmental Issues Environmental Compliance C++ strong entrepreneurship professional MSc.
Sunil Mysore,                 Sunil Mysore currently working Chief Executive Officer Hinren Engineering Pvt. Ltd. Based Bengaluru Karnataka India nan industry. Decentralized energy water management work Rooftop Solar energy Agro Voltaics Rainwater harvesting. Sustainable roof rooftop tool fight climate change vehicle sustainable healthy living.
Amit Chandravanshi,"Amit Chandravanshi is the Chief Executive Officer of Gatih Consultancy Laboratories. He is based in Raipur, Chhattisgarh, India. He has worked in the nan industry for 7 years and 3 months. He was born and raised in the city of Raipuri. He also has a background in engineering and business."
Paras Saluja,Paras Saluja is the Founder CEO of Shayna EcoUnified India Pvt Ltd. Shayna Ecounified recycles plastic waste High Density Composite polymer HDCP tiles. The company has been in existence for 7 years 4 months. Paras is an avid traveler and has trekked Mount Everest.
Amarnath Reddy,"Amarnath Reddy is the Chief Executive Officer of Miljo Aqua LLP. He is based in Hyderabad, Telangana, India. His background includes 20 + years of engineering experience. His responsibilities relate to CAD Automation reduce engineering errors and waste water treatment effluent treatment."
Vivek Mehra,"Vivek Mehra is the founder and CEO of Accelerity. He is based in Gurugram, Haryana, India. His background includes nan, nanotechnology, and software development. He has worked in the consulting industry for 7 years. He also has a successful start-up company, which he co-founded."
Rajat Parikh,"Rajat Parikh is CEO of SKR ENTERPRISE. He is based in Vadodara, Gujarat, India. Parikh's background includes nan and textile manufacturing. He has been at the company for 11 years 8 months. His company is called SKR Enterprise."
Ajay Menon,"Ajay Menon is the CEO and Co Founder of Envirokare Recycling Solutions Pvt Ltd. He has 25 plus years entrepreneurial experience in industries like Energy Outsourcing Consulting and Products. He is an avid reader, runner activist and loves network meet new people."
Raj Kumar,Raj Kumar is the Chief Executive Officer of Blue Monk Ventures. He started career in industry in 1996. In 2005 he founded DEV SERV Private Limited providing related solutions. In 2013 he established Deshwal Waste Management Private Limited. The company is a nationally recognized CPCB certified recycler.
praful panchal,"Praful panchal currently working Chief Executive Officer OGL water Div. Based in Surat Gujarat, India. Background includes 1 40 years experience operate WWTP INCINERATOR. 2 12 years experience handle Administrative Operational WWTP. 3 Exposures Pesticides. Textile operations plant."
Irfan Pathan,"Irfan Pathan is the Founder and Chief Executive Officer of Pi Green Innovations Pvt. Ltd. He has developed a technology that stops PM emissions from vehicles. The company is based in Pune, Maharashtra, India. Pathan has been working at Pi Green for 8 years."
Mahadeva swamy,"Mahadeva swamy is the Chief Executive Officer of ENVIRO ENGINEERS. He is based in Bengaluru, Karnataka, India. He has been with the company for 7 years 10 months. His background includes environmental impact assessment, air quality modeling, and technical services."
Muhammed Zahid,Muhammed Zahid is the founder and CEO of AQOZA Technologies Pvt Ltd. He is a Mechanical Engineer with 15 + years experience in the air water purification industry. He has previously served as Business Development Manager at Envirogen Group Voltas Ltd and Corodex Industries.
Krishna M.,Krishna M. currently working CEO Colabs Pharma Pvt Ltd. Based Hyderabad Telangana India nan industry. background includes business   strategic materials complex biopharmaceuticals sports medicine supplements. He has been CEO for 9 years 10 months and is based in Hyderabad.
Deekshith Vara Prasad,"Deekshith Vara Prasad is the CEO of Air Ok Technologies Pvt Ltd based in Delhi, India. The company is focused on addressing rising levels of air pollution. It has developed a patented filter technology that efficiently reduces high levels of CO2 PM2.5 PM10 VOCs."
Renuka Nair,"Renuka Nair is the CEO of Enigma Solutions. She is the author of two novels Nights Alive and Life Comes Circle. Her background includes Banking Finance Training Administration. She has worked in the nan industry for 11 years and is currently based in India. Nair has worked as a TV presenter, model, model and actress."
KANNIVEL PERUMAL,"phthalmologist.com is a Chief Executive Officer of H2O Engineering Technologies. He is based in Chengalpattu, Tamil Nadu, India. His background includes nan. He has worked for 11 years 8 months in the environmental services industry. He was born in Tamil Nadu and is a graduate of the University of Delhi."
Priyanka Sahu,"Priyanka Sahu is the CEO of Symbroj Cleantech Pvt. Ltd. She is also the Director of Metro Rail News and is responsible for business development. Priyanka is a graduate of the Delhi School of Economics and the Indian Institute of Technology, Delhi."
Amar Singh Yadav,"Amar Singh Yadav is the founder and CEO of Aseries.in. He has worked in the environmental services industry for 6 years. He is a graduate of the TERI University in Noida, Uttar Pradesh, India. He also has a MBA in Business Sustainability from the same university."
Lilachand Ponikar,Lilachand Ponikar is the founder and CEO of Zero Waste Management LLP. He is passionate about creating positive environmental social impact. Lilachand is also the TEDx speaker circular economy advocate. He has won accolades like BW Social Impact Leader Recycling 2022 gaining privilege sharing ReCircle latest projects.
Rajiv Ray,"Rajiv Ray is the founder and CEO of ISR Industries. He has worked in the environmental services industry for 27 years. His background includes Water Treatment and Environmental Studies. He is a graduate of Andhra University and the Indian Institute of Technology, Hyderabad. He lives in Delhi, India."
SALOMI RANI,"phthalmologist SALOMI RANI is the Director CEO of Elemsa Sustainable Technology. He is based in Bengaluru, Karnataka, India. His background includes 25 years in local government and 25 years as a consultant to the government. He has also worked as a consultant for a large organisation."
Anup P.,Anup P. currently working Founder CEO eSamudaay based in Bengaluru Karnataka India. background includes graduating 1996 joined ANZ campus short stint employee ANZ freelance core banking consultant 1998 crazy adventures developing countries 2006 founded Fintellix Solutions. 2018 leading Digital Swaraj movement create people local data intelligence grid counter balance profit global data intelligence platforms.
Srestha Chatterjee,"Srestha Chatterjee is the MD CEO of Kohsa Analytics. He is based in Kolkata, West Bengal, India. His background includes water treatment, solar panel, and air pollution control. He has been at the company for 7 years and is currently building a green engineering firm."
DR S S GARG,centric    DR S S GARG currently working Chief Executive Officer Director GM Head Department India Infrastructure Finance Company Ltd. background includes Post Graduate Doctorate Environmental Science MBA   Diploma Industrial Safety. EHS Infrastructure Peoject Financing Climate Finance ESG Safeguards expert extensive exposure 35 Nos Comprehensive Rapid EIA ESIA EMP studies Public Hearing presented numbers projects.
Sanjeev Kumar VS,"Sanjeev Kumar VS currently working Chief Executive Officer Subtrash ventures. Based Bengaluru Karnataka India Environmental Services industry. Background includes Building Subtrashing. He has worked for two years and five months in the Sub trash business. He is a graduate of the Indian Institute of Technology, Bangalore."
Rahul Singh,"Rahul Singh is the Chief Executive Officer of Uniphos Envirotronic Private Limited. He is based in Mumbai, Maharashtra, India. He has worked for the company for 14 years 4 months. His background includes Business Head responsible, Sales Exports, and Brand Management."
Rain Ramesh Babu,                    Rain Ramesh Babu currently working Chief Executive Officer RPV Enterprises. Based in Erode Tamil Nadu India nan industry. background includes Rainwater Harvesting 5 years experience consulted 2900 rainwater filteration Drinking Cooking 2800 happy families consuming Healthy Pure water save minimum 180 million liters Rain Water                   Rainwater Harvesting 5 years experience consulted 29000 rainwater  filteration drinking cooking.
Abhishek Kawitkar,Abhishek Kawitkar currently working Chief Executive Officer Mega Scape India. background includes Biodiversity Planner Ecological township Planner Designer Art Curator. Founder Artists India unique Art Company creates fresh platforms host artists India Curating hosting music festivals concerts theatre festivals corporate workshops creative art engagements.
jeevesh kumar," jeevesh kumar is CEO of Greenscape Eco Management Pvt Ltd. He has been working in the nan industry for 10 years. His background includes nan industry. He is currently based in South Delhi, Delhi, India. For more information, visit www.greenscapeec management.com."
Dr Reena Anilkumar,Dr Reena Anilkumar is the CEO of Ram Biologicals Calicut. She is also the Managing Director of Areena Hygiene Solutions Pvt Ltd Kozhikode. Her background includes managing a waste management company. She has worked for the Government of Kerala for more than 20 years.
Dr Dnyaneshwar Battalwar,"Dr Dnyaneshwar Battalwar is the Founder CEO of GYAN ENVIRO. He is based in Nagpur, Maharashtra, India. His background includes 18 Yrs experience in the Environment consultancy field. He has also worked in EPC and EIA projects."
Amol Ratan Singh Lottey,Amol Ratan Singh Lottey currently working Co Founder CEO of Stealth. Based Ludhiana Punjab India Software Development industry. Background includes Working energy water conservation industrial HVAC systems account 35 70 energy consumption industrial facility. Visit www.eurekainternational.in to learn more about Stealth.
Salim Kazi,"phthalim Kazi currently working Founder CEO of Mumbai Maharashtra India Facilities Services industry. He is based in Mumbai, Mumbai, Maharashtra, India. His background includes cricket, technology, business, finance, business strategy, and leadership. He has been working at the company for 4 years 1 months."
Ashwin Deshpande,"Ashwin Deshpande is the Chief Executive Officer of BRIJ ENVIRO. He is based in Mumbai, Maharashtra, India. His background includes Post Graduation diploma Marketing. He has worked in the nan industry for 2 years and 6 months. His company is a leading nanomaterials company in India."
Nikhil Sakhare,"Nikhil Sakhare is currently working as Chief Executive Officer of RIXLE. His background includes working Textile Recycling waste materials material converted new usable Product. His company is based in Latur, Maharashtra, India. He has been at RIXle for 2 years and 10 months. He is a graduate of the University of Mumbai."
Mahesh KC,"Mahesh KC is the founder and CEO of Bengaluru-based eAkrishya Innovations. Mahesh is a technocrat, entrepreneur and thought leader with 18 years of experience. He is passionate about innovation, business strategy, people and technology. He has been involved in several startups in Bengaluru."
Prince Kumar Tiwari,Prince Kumar Tiwari is the Chief Executive Officer of TERESA OCEAN HUMANITY FOUNDATION. He is the founder and CEO of the non-profit TERESA Humanities Foundation. Prince Kumar is a graduate of Thakur College Science Commerce and a Chartered Accountancy ICAI. He has worked with street children for 10 years.
Kumkum Tejpal,"Kumkum Tejpal is the Chief Executive Officer of Eco Wise Waste Management Pvt Ltd. He is based in Noida, Uttar Pradesh, India. His background includes truly passionate work and a love of the environment. He has worked for 6 years 11 months in his current role."
Dinesh Yadav,"Dinesh Yadav is the CEO of Arvind Limited. He is based in Ahmedabad, Gujarat, India. He has worked in the retail and fashion industry for 15 years. His background includes nan, fashion, and corporate management. He also has a passion for fashion and design."
Roopesh Rai,Roopesh Rai is the Founder Chief Executive Officer of Bakri Chhap Agro Tourism Natural Products Pvt Ltd. BakriChhap pioneering initiative seeks transform rural India sustainable tourism empowerment local communities. Roopesh sees potential rural India offer real reality hospitality tourism. He understands youth rural areas hold key change problem solution fostering eco entrepreneurship.
Bhaaskaran Rangarajan,"Bhaaskaran Rangarajan is the founder of Hydenmet. He is a Management Professional Entrepreneur with 30 years experience. He has worked for Fortune Companies including Ford Motor Company, K Mart, ABN AMRO and Hewlett Packard. He also works as a Consultant helping build companies providing wide range business consulting services."
